model,task_id,selected_attempt,run_ref,task_version,main_result,main_score,main_result_basis,raw_result,raw_score,raw_result_basis,main_raw_difference,main_prior_approval_ref,supplementary_adjudicated_result,supplementary_adjudicated_score,supplementary_evaluation_status,supplementary_score_basis,steps,duration,termination_reason,device_count,device_types,environment_type_count,device_instances,metadata_ref,selected_run_status,main_binary_status,paired_task_config_status,paired_task_config_ref,supplementary_current_ruling,supplementary_approval_status,supplementary_adjudication_ref,supplementary_adjudication_type,supplementary_reviewer,supplementary_human_reviewed,supplementary_decision_refs,supplementary_ruleset_version,supplementary_pending_condition_count,supplementary_unresolved_condition_count,selection_reason,selection_source_summary,trajectory_path,evaluator_trace_path,history_path,step_limit_reached,wall_time_limit_reached,declared_complete,max_steps,max_duration_s,runtime_version_status,paired_comparison_status,paired_comparison_note
gpt-5.5,a2l2_meeting_packet_full,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/001_a2l2_meeting_packet_full,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/001_a2l2_meeting_packet_full/result.json,unknown,FAIL,0,/Users/lht/home/MDCBench/analysis/chatgpt+claude/evaluation_followup/reconciled_task_results.csv :: gpt-5.5|a2l2_meeting_packet_full :: existing_adopted_result / existing_adopted_score (pre-followup main table),FAIL,0,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/001_a2l2_meeting_packet_full/result.json,false,NA,FAIL,0,not_audited,unchanged_existing_score_no_new_approved_condition; Retain prior adopted score; pending/unresolved proposals are not applied.,39,1850.317,time_limit,4,android+linux,2,android_0:android;android_1:android;linux_0:linux;linux_1:linux,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/001_a2l2_meeting_packet_full/config/task.json :: devices,available_selected_result,pre_followup_result_not_replaced_by_supplementary_review,equal_frozen_task_json_prior_comparison,/Users/lht/home/MDCBench/analysis_phase1/task_snapshot_comparison.csv :: a2l2_meeting_packet_full,not_in_source_audit,no_change_requested,,,,false,,devicesworld.evaluation-review.candidate-v2.2026-09-07,0,0,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/001_a2l2_meeting_packet_full/trajectory.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/001_a2l2_meeting_packet_full/evaluator_trace.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/001_a2l2_meeting_packet_full/execution_history.jsonl,False,True,False,50,1800,per_run_full_runtime_snapshot_unknown; frozen task/config/trace available,included_task_config_and_pre_followup_main_result,
gpt-5.5,al2_data_transform_sync,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/002_al2_data_transform_sync,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/002_al2_data_transform_sync/result.json,unknown,FAIL,0,/Users/lht/home/MDCBench/analysis/chatgpt+claude/evaluation_followup/reconciled_task_results.csv :: gpt-5.5|al2_data_transform_sync :: existing_adopted_result / existing_adopted_score (pre-followup main table),FAIL,0,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/002_al2_data_transform_sync/result.json,false,NA,FAIL,0,not_audited,unchanged_existing_score_no_new_approved_condition; Retain prior adopted score; pending/unresolved proposals are not applied.,50,1192.051,max_steps,3,android+linux,2,android_0:android;linux_0:linux;linux_1:linux,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/002_al2_data_transform_sync/config/task.json :: devices,available_selected_result,pre_followup_result_not_replaced_by_supplementary_review,equal_frozen_task_json_prior_comparison,/Users/lht/home/MDCBench/analysis_phase1/task_snapshot_comparison.csv :: al2_data_transform_sync,not_in_source_audit,no_change_requested,,,,false,,devicesworld.evaluation-review.candidate-v2.2026-09-07,0,0,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/002_al2_data_transform_sync/trajectory.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/002_al2_data_transform_sync/evaluator_trace.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/002_al2_data_transform_sync/execution_history.jsonl,True,False,False,50,1800,per_run_full_runtime_snapshot_unknown; frozen task/config/trace available,included_task_config_and_pre_followup_main_result,
gpt-5.5,al_tutorial_screenshot,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/003_al_tutorial_screenshot,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/003_al_tutorial_screenshot/result.json,unknown,FAIL,0,/Users/lht/home/MDCBench/analysis/chatgpt+claude/evaluation_followup/reconciled_task_results.csv :: gpt-5.5|al_tutorial_screenshot :: existing_adopted_result / existing_adopted_score (pre-followup main table),FAIL,0,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/003_al_tutorial_screenshot/result.json,false,NA,FAIL,0,not_audited,unchanged_existing_score_no_new_approved_condition; Retain prior adopted score; pending/unresolved proposals are not applied.,6,237.456,done,2,android+linux,2,android_0:android;linux_0:linux,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/003_al_tutorial_screenshot/config/task.json :: devices,available_selected_result,pre_followup_result_not_replaced_by_supplementary_review,equal_frozen_task_json_prior_comparison,/Users/lht/home/MDCBench/analysis_phase1/task_snapshot_comparison.csv :: al_tutorial_screenshot,not_in_source_audit,no_change_requested,,,,false,,devicesworld.evaluation-review.candidate-v2.2026-09-07,0,0,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/003_al_tutorial_screenshot/trajectory.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/003_al_tutorial_screenshot/evaluator_trace.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/003_al_tutorial_screenshot/execution_history.jsonl,False,False,True,50,1800,per_run_full_runtime_snapshot_unknown; frozen task/config/trace available,included_task_config_and_pre_followup_main_result,
gpt-5.5,al_calendar_schedule_conflict,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/004_al_calendar_schedule_conflict,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/004_al_calendar_schedule_conflict/result.json,unknown,FAIL,0,/Users/lht/home/MDCBench/analysis/chatgpt+claude/evaluation_followup/reconciled_task_results.csv :: gpt-5.5|al_calendar_schedule_conflict :: existing_adopted_result / existing_adopted_score (pre-followup main table),FAIL,0,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/004_al_calendar_schedule_conflict/result.json,false,NA,FAIL,0,not_audited,unchanged_existing_score_no_new_approved_condition; Retain prior adopted score; pending/unresolved proposals are not applied.,45,1833.641,time_limit,2,android+linux,2,android_0:android;linux_0:linux,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/004_al_calendar_schedule_conflict/config/task.json :: devices,available_selected_result,pre_followup_result_not_replaced_by_supplementary_review,equal_frozen_task_json_prior_comparison,/Users/lht/home/MDCBench/analysis_phase1/task_snapshot_comparison.csv :: al_calendar_schedule_conflict,not_in_source_audit,no_change_requested,,,,false,,devicesworld.evaluation-review.candidate-v2.2026-09-07,0,0,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/004_al_calendar_schedule_conflict/trajectory.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/004_al_calendar_schedule_conflict/evaluator_trace.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/004_al_calendar_schedule_conflict/execution_history.jsonl,False,True,False,50,1800,per_run_full_runtime_snapshot_unknown; frozen task/config/trace available,included_task_config_and_pre_followup_main_result,
gpt-5.5,a2l_agenda_from_two_phones,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/005_a2l_agenda_from_two_phones,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/005_a2l_agenda_from_two_phones/result.json,unknown,FAIL,0,/Users/lht/home/MDCBench/analysis/chatgpt+claude/evaluation_followup/reconciled_task_results.csv :: gpt-5.5|a2l_agenda_from_two_phones :: existing_adopted_result / existing_adopted_score (pre-followup main table),FAIL,0,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/005_a2l_agenda_from_two_phones/result.json,false,NA,FAIL,0,not_audited,unchanged_existing_score_no_new_approved_condition; Retain prior adopted score; pending/unresolved proposals are not applied.,12,413.149,done,3,android+linux,2,android_0:android;android_1:android;linux_0:linux,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/005_a2l_agenda_from_two_phones/config/task.json :: devices,available_selected_result,pre_followup_result_not_replaced_by_supplementary_review,equal_frozen_task_json_prior_comparison,/Users/lht/home/MDCBench/analysis_phase1/task_snapshot_comparison.csv :: a2l_agenda_from_two_phones,not_in_source_audit,no_change_requested,,,,false,,devicesworld.evaluation-review.candidate-v2.2026-09-07,0,0,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/005_a2l_agenda_from_two_phones/trajectory.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/005_a2l_agenda_from_two_phones/evaluator_trace.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/005_a2l_agenda_from_two_phones/execution_history.jsonl,False,False,True,50,1800,per_run_full_runtime_snapshot_unknown; frozen task/config/trace available,included_task_config_and_pre_followup_main_result,
gpt-5.5,a2_missing_media_status,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/006_a2_missing_media_status,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/006_a2_missing_media_status/result.json,unknown,PASS,1,/Users/lht/home/MDCBench/analysis/chatgpt+claude/evaluation_followup/reconciled_task_results.csv :: gpt-5.5|a2_missing_media_status :: existing_adopted_result / existing_adopted_score (pre-followup main table),PASS,1,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/006_a2_missing_media_status/result.json,false,NA,PASS,1,not_audited,unchanged_existing_score_no_new_approved_condition; Retain prior adopted score; pending/unresolved proposals are not applied.,23,565.646,done,2,android,1,android_0:android;android_1:android,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/006_a2_missing_media_status/config/task.json :: devices,available_selected_result,pre_followup_result_not_replaced_by_supplementary_review,equal_frozen_task_json_prior_comparison,/Users/lht/home/MDCBench/analysis_phase1/task_snapshot_comparison.csv :: a2_missing_media_status,not_in_source_audit,no_change_requested,,,,false,,devicesworld.evaluation-review.candidate-v2.2026-09-07,0,0,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/006_a2_missing_media_status/trajectory.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/006_a2_missing_media_status/evaluator_trace.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/006_a2_missing_media_status/execution_history.jsonl,False,False,True,50,1800,per_run_full_runtime_snapshot_unknown; frozen task/config/trace available,included_task_config_and_pre_followup_main_result,
gpt-5.5,l2_csv_to_json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/007_l2_csv_to_json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/007_l2_csv_to_json/result.json,unknown,PASS,1,/Users/lht/home/MDCBench/analysis/chatgpt+claude/evaluation_followup/reconciled_task_results.csv :: gpt-5.5|l2_csv_to_json :: existing_adopted_result / existing_adopted_score (pre-followup main table),PASS,1,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/007_l2_csv_to_json/result.json,false,NA,PASS,1,not_audited,unchanged_existing_score_no_new_approved_condition; Retain prior adopted score; pending/unresolved proposals are not applied.,3,284.439,done,2,linux,1,linux_0:linux;linux_1:linux,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/007_l2_csv_to_json/config/task.json :: devices,available_selected_result,pre_followup_result_not_replaced_by_supplementary_review,equal_frozen_task_json_prior_comparison,/Users/lht/home/MDCBench/analysis_phase1/task_snapshot_comparison.csv :: l2_csv_to_json,not_in_source_audit,no_change_requested,,,,false,,devicesworld.evaluation-review.candidate-v2.2026-09-07,0,0,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/007_l2_csv_to_json/trajectory.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/007_l2_csv_to_json/evaluator_trace.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/007_l2_csv_to_json/execution_history.jsonl,False,False,True,50,1800,per_run_full_runtime_snapshot_unknown; frozen task/config/trace available,included_task_config_and_pre_followup_main_result,
gpt-5.5,al_request_audio,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260828_env_helper14_run_01/008_al_request_audio,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260828_env_helper14_run_01/008_al_request_audio/result.json,unknown,FAIL,0,/Users/lht/home/MDCBench/analysis/chatgpt+claude/evaluation_followup/reconciled_task_results.csv :: gpt-5.5|al_request_audio :: existing_adopted_result / existing_adopted_score (pre-followup main table),FAIL,0,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260828_env_helper14_run_01/008_al_request_audio/result.json,false,NA,FAIL,0,not_audited,unchanged_existing_score_no_new_approved_condition; Retain prior adopted score; pending/unresolved proposals are not applied.,50,837.174,max_steps,2,android+linux,2,android_0:android;linux_0:linux,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260828_env_helper14_run_01/008_al_request_audio/config/task.json :: devices,available_selected_result,pre_followup_result_not_replaced_by_supplementary_review,equal_frozen_task_json_prior_comparison,/Users/lht/home/MDCBench/analysis_phase1/task_snapshot_comparison.csv :: al_request_audio,not_in_source_audit,no_change_requested,,,,false,,devicesworld.evaluation-review.candidate-v2.2026-09-07,0,0,documented_infrastructure_replacement,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260828_env_helper14_run_01/008_al_request_audio/trajectory.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260828_env_helper14_run_01/008_al_request_audio/evaluator_trace.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260828_env_helper14_run_01/008_al_request_audio/execution_history.jsonl,True,False,False,50,1800,per_run_full_runtime_snapshot_unknown; frozen task/config/trace available,included_task_config_and_pre_followup_main_result,
gpt-5.5,a2l2_training_deck_notify,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/009_a2l2_training_deck_notify,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/009_a2l2_training_deck_notify/result.json,unknown,FAIL,0.3333333333333333,/Users/lht/home/MDCBench/analysis/chatgpt+claude/evaluation_followup/reconciled_task_results.csv :: gpt-5.5|a2l2_training_deck_notify :: existing_adopted_result / existing_adopted_score (pre-followup main table),FAIL,0.3333333333333333,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/009_a2l2_training_deck_notify/result.json,false,NA,FAIL,0.3333333333333333,not_audited,unchanged_existing_score_no_new_approved_condition; Retain prior adopted score; pending/unresolved proposals are not applied.,17,1878.364,time_limit,4,android+linux,2,android_0:android;android_1:android;linux_0:linux;linux_1:linux,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/009_a2l2_training_deck_notify/config/task.json :: devices,available_selected_result,pre_followup_result_not_replaced_by_supplementary_review,equal_frozen_task_json_prior_comparison,/Users/lht/home/MDCBench/analysis_phase1/task_snapshot_comparison.csv :: a2l2_training_deck_notify,not_in_source_audit,no_change_requested,,,,false,,devicesworld.evaluation-review.candidate-v2.2026-09-07,0,0,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/009_a2l2_training_deck_notify/trajectory.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/009_a2l2_training_deck_notify/evaluator_trace.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/009_a2l2_training_deck_notify/execution_history.jsonl,False,True,False,50,1800,per_run_full_runtime_snapshot_unknown; frozen task/config/trace available,included_task_config_and_pre_followup_main_result,
gpt-5.5,a2_route_media_status,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/010_a2_route_media_status,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/010_a2_route_media_status/result.json,unknown,FAIL,0,/Users/lht/home/MDCBench/analysis/chatgpt+claude/evaluation_followup/reconciled_task_results.csv :: gpt-5.5|a2_route_media_status :: existing_adopted_result / existing_adopted_score (pre-followup main table),FAIL,0,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/010_a2_route_media_status/result.json,false,NA,FAIL,0,not_audited,unchanged_existing_score_no_new_approved_condition; Retain prior adopted score; pending/unresolved proposals are not applied.,30,685.416,done,2,android,1,android_0:android;android_1:android,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/010_a2_route_media_status/config/task.json :: devices,available_selected_result,pre_followup_result_not_replaced_by_supplementary_review,equal_frozen_task_json_prior_comparison,/Users/lht/home/MDCBench/analysis_phase1/task_snapshot_comparison.csv :: a2_route_media_status,not_in_source_audit,no_change_requested,,,,false,,devicesworld.evaluation-review.candidate-v2.2026-09-07,0,0,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/010_a2_route_media_status/trajectory.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/010_a2_route_media_status/evaluator_trace.json,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/010_a2_route_media_status/execution_history.jsonl,False,False,True,50,1800,per_run_full_runtime_snapshot_unknown; frozen task/config/trace available,included_task_config_and_pre_followup_main_result,
