model,baseline_key,task_id,lite_index,selected_attempt,run_ref,task_version,result_basis,raw_result,adopted_result,evaluation_status,raw_score,adopted_score,score_basis,steps,duration,termination_reason,summary_termination_reason,recorded_run_status,returncode,device_count,device_types,device_instances,metadata_ref,materialized_task_ref,result_ref,evaluator_trace_ref,trajectory_ref,run_metadata_ref,time_limited,environment_actions,coordination_rounds,summary_ref,case_id,case_use,interpretation_note
Gemini 3.1 Pro Preview,gemini,a2l2_meeting_packet_full,1,001_a2l2_meeting_packet_full,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/001_a2l2_meeting_packet_full,unknown; historical config/task.json retained,formal run_01 summary.records selection; matching result.json,FAIL,FAIL,recorded_automatic; no applicable confirmed adjudication located; not reaudited,0.0,0.0,selected attempt recorded automatic score; no rescoring,44,1852.625,time_limit,time_limit,completed,1,4,android+linux,"[{""id"":""android_0"",""type"":""android""},{""id"":""android_1"",""type"":""android""},{""id"":""linux_0"",""type"":""linux""},{""id"":""linux_1"",""type"":""linux""}]",runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/001_a2l2_meeting_packet_full/config/task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/001_a2l2_meeting_packet_full/config/materialized_task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/001_a2l2_meeting_packet_full/result.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/001_a2l2_meeting_packet_full/evaluator_trace.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/001_a2l2_meeting_packet_full/trajectory.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/run_metadata.json,True,,,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/summary.json,,not_close_read,
Gemini 3.1 Pro Preview,gemini,al2_data_transform_sync,2,002_al2_data_transform_sync,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/002_al2_data_transform_sync,unknown; historical config/task.json retained,formal run_01 summary.records selection; matching result.json,PASS,PASS,recorded_automatic; no applicable confirmed adjudication located; not reaudited,1.0,1.0,selected attempt recorded automatic score; no rescoring,26,1041.594,done,done,completed,0,3,android+linux,"[{""id"":""android_0"",""type"":""android""},{""id"":""linux_0"",""type"":""linux""},{""id"":""linux_1"",""type"":""linux""}]",runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/002_al2_data_transform_sync/config/task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/002_al2_data_transform_sync/config/materialized_task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/002_al2_data_transform_sync/result.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/002_al2_data_transform_sync/evaluator_trace.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/002_al2_data_transform_sync/trajectory.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/run_metadata.json,False,,,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/summary.json,,not_close_read,
Gemini 3.1 Pro Preview,gemini,al_tutorial_screenshot,3,003_al_tutorial_screenshot,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/003_al_tutorial_screenshot,unknown; historical config/task.json retained,formal run_01 summary.records selection; matching result.json,PASS,PASS,recorded_automatic; no applicable confirmed adjudication located; not reaudited,1.0,1.0,selected attempt recorded automatic score; no rescoring,22,543.172,done,done,completed,0,2,android+linux,"[{""id"":""android_0"",""type"":""android""},{""id"":""linux_0"",""type"":""linux""}]",runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/003_al_tutorial_screenshot/config/task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/003_al_tutorial_screenshot/config/materialized_task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/003_al_tutorial_screenshot/result.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/003_al_tutorial_screenshot/evaluator_trace.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/003_al_tutorial_screenshot/trajectory.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/run_metadata.json,False,,,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/summary.json,,not_close_read,
Gemini 3.1 Pro Preview,gemini,al_calendar_schedule_conflict,4,004_al_calendar_schedule_conflict,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/004_al_calendar_schedule_conflict,unknown; historical config/task.json retained,formal run_01 summary.records selection; matching result.json,FAIL,FAIL,recorded_automatic; no applicable confirmed adjudication located; not reaudited,0.0,0.0,selected attempt recorded automatic score; no rescoring,40,869.594,done,done,completed,1,2,android+linux,"[{""id"":""android_0"",""type"":""android""},{""id"":""linux_0"",""type"":""linux""}]",runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/004_al_calendar_schedule_conflict/config/task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/004_al_calendar_schedule_conflict/config/materialized_task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/004_al_calendar_schedule_conflict/result.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/004_al_calendar_schedule_conflict/evaluator_trace.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/004_al_calendar_schedule_conflict/trajectory.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/run_metadata.json,False,,,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/summary.json,,not_close_read,
Gemini 3.1 Pro Preview,gemini,a2l_agenda_from_two_phones,5,005_a2l_agenda_from_two_phones,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/005_a2l_agenda_from_two_phones,unknown; historical config/task.json retained,formal run_01 summary.records selection; matching result.json,FAIL,FAIL,recorded_automatic; no applicable confirmed adjudication located; not reaudited,0.0,0.0,selected attempt recorded automatic score; no rescoring,39,1122.875,done,done,completed,1,3,android+linux,"[{""id"":""android_0"",""type"":""android""},{""id"":""android_1"",""type"":""android""},{""id"":""linux_0"",""type"":""linux""}]",runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/005_a2l_agenda_from_two_phones/config/task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/005_a2l_agenda_from_two_phones/config/materialized_task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/005_a2l_agenda_from_two_phones/result.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/005_a2l_agenda_from_two_phones/evaluator_trace.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/005_a2l_agenda_from_two_phones/trajectory.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/run_metadata.json,False,,,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/summary.json,,not_close_read,
Gemini 3.1 Pro Preview,gemini,a2_missing_media_status,6,006_a2_missing_media_status,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/006_a2_missing_media_status,unknown; historical config/task.json retained,formal run_01 summary.records selection; matching result.json,FAIL,FAIL,recorded_automatic; no applicable confirmed adjudication located; not reaudited,0.0,0.0,selected attempt recorded automatic score; no rescoring,11,289.203,done,done,completed,1,2,android,"[{""id"":""android_0"",""type"":""android""},{""id"":""android_1"",""type"":""android""}]",runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/006_a2_missing_media_status/config/task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/006_a2_missing_media_status/config/materialized_task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/006_a2_missing_media_status/result.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/006_a2_missing_media_status/evaluator_trace.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/006_a2_missing_media_status/trajectory.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/run_metadata.json,False,,,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/summary.json,,not_close_read,
Gemini 3.1 Pro Preview,gemini,l2_csv_to_json,7,007_l2_csv_to_json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/007_l2_csv_to_json,unknown; historical config/task.json retained,formal run_01 summary.records selection; matching result.json,PASS,PASS,recorded_automatic; no applicable confirmed adjudication located; not reaudited,1.0,1.0,selected attempt recorded automatic score; no rescoring,3,282.86,done,done,completed,0,2,linux,"[{""id"":""linux_0"",""type"":""linux""},{""id"":""linux_1"",""type"":""linux""}]",runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/007_l2_csv_to_json/config/task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/007_l2_csv_to_json/config/materialized_task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/007_l2_csv_to_json/result.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/007_l2_csv_to_json/evaluator_trace.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/007_l2_csv_to_json/trajectory.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/run_metadata.json,False,,,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/summary.json,S1,success_control,Same CSV-to-JSON task; successful recorded command and evaluation.
Gemini 3.1 Pro Preview,gemini,al_request_audio,8,008_al_request_audio,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/008_al_request_audio,unknown; historical config/task.json retained,formal run_01 summary.records selection; matching result.json,FAIL,FAIL,recorded_automatic; no applicable confirmed adjudication located; not reaudited,0.0,0.0,selected attempt recorded automatic score; no rescoring,50,1191.907,max_steps,max_steps,completed,1,2,android+linux,"[{""id"":""android_0"",""type"":""android""},{""id"":""linux_0"",""type"":""linux""}]",runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/008_al_request_audio/config/task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/008_al_request_audio/config/materialized_task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/008_al_request_audio/result.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/008_al_request_audio/evaluator_trace.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/008_al_request_audio/trajectory.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/run_metadata.json,False,,,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/summary.json,,not_close_read,
Gemini 3.1 Pro Preview,gemini,a2l2_training_deck_notify,9,009_a2l2_training_deck_notify,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/009_a2l2_training_deck_notify,unknown; historical config/task.json retained,formal run_01 summary.records selection; matching result.json,FAIL,FAIL,recorded_automatic; no applicable confirmed adjudication located; not reaudited,0.3333333333333333,0.3333333333333333,selected attempt recorded automatic score; no rescoring,24,1313.922,done,done,completed,1,4,android+linux,"[{""id"":""android_0"",""type"":""android""},{""id"":""android_1"",""type"":""android""},{""id"":""linux_0"",""type"":""linux""},{""id"":""linux_1"",""type"":""linux""}]",runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/009_a2l2_training_deck_notify/config/task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/009_a2l2_training_deck_notify/config/materialized_task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/009_a2l2_training_deck_notify/result.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/009_a2l2_training_deck_notify/evaluator_trace.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/009_a2l2_training_deck_notify/trajectory.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/run_metadata.json,False,,,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/summary.json,,not_close_read,
Gemini 3.1 Pro Preview,gemini,a2_route_media_status,10,010_a2_route_media_status,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/010_a2_route_media_status,unknown; historical config/task.json retained,formal run_01 summary.records selection; matching result.json,FAIL,FAIL,recorded_automatic; no applicable confirmed adjudication located; not reaudited,0.0,0.0,selected attempt recorded automatic score; no rescoring,50,819.093,max_steps,max_steps,completed,1,2,android,"[{""id"":""android_0"",""type"":""android""},{""id"":""android_1"",""type"":""android""}]",runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/010_a2_route_media_status/config/task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/010_a2_route_media_status/config/materialized_task.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/010_a2_route_media_status/result.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/010_a2_route_media_status/evaluator_trace.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/010_a2_route_media_status/trajectory.json,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/run_metadata.json,False,,,runs/core200-rerun-20260826/gemini-3.1-pro-preview-lite/PC-20260130VLZZ/run_01/summary.json,,not_close_read,
