model,task_id,lite_index,selected_attempt,run_ref,task_version,result_basis,raw_result,adopted_result,evaluation_status,raw_score,adopted_score,score_basis,steps,duration_s,termination_reason,device_count,device_types,device_instances,metadata_ref,summary_ref,result_ref,recorded_launch_commit,status,selection_stage,task_snapshot_available,materialized_snapshot_available,trajectory_available,evaluator_trace_available
Kimi K2.6,a2l2_meeting_packet_full,1,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/001_a2l2_meeting_packet_full,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/run_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/001_a2l2_meeting_packet_full/config/task.json,formal_run_01: formal runner summary; archived incomplete attempts excluded,FAIL,FAIL,recorded_automatic_result; no applicable confirmed rescoring record located,0,0,selected-attempt result.json; no new scoring or reinterpretation,15,1836.633,time_limit,4,android+linux,android_0:android;android_1:android;linux_0:linux;linux_1:linux,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/experiment_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/summary.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/001_a2l2_meeting_packet_full/result.json,1e053e2cf7955b4a2c4aafbe5136ea918276eaec,completed,formal_run_01,true,true,true,true
Kimi K2.6,al2_data_transform_sync,2,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/002_al2_data_transform_sync,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/run_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/002_al2_data_transform_sync/config/task.json,formal_run_01: formal runner summary; archived incomplete attempts excluded,FAIL,FAIL,recorded_automatic_result; no applicable confirmed rescoring record located,0.5,0.5,selected-attempt result.json; no new scoring or reinterpretation,50,1749.173,max_steps,3,android+linux,android_0:android;linux_0:linux;linux_1:linux,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/experiment_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/summary.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/002_al2_data_transform_sync/result.json,1e053e2cf7955b4a2c4aafbe5136ea918276eaec,completed,formal_run_01,true,true,true,true
Kimi K2.6,al_tutorial_screenshot,3,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/003_al_tutorial_screenshot,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/run_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/003_al_tutorial_screenshot/config/task.json,formal_run_01: formal runner summary; archived incomplete attempts excluded,PASS,PASS,recorded_automatic_result; no applicable confirmed rescoring record located,1,1,selected-attempt result.json; no new scoring or reinterpretation,20,748.445,done,2,android+linux,android_0:android;linux_0:linux,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/experiment_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/summary.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/003_al_tutorial_screenshot/result.json,1e053e2cf7955b4a2c4aafbe5136ea918276eaec,completed,formal_run_01,true,true,true,true
Kimi K2.6,al_calendar_schedule_conflict,4,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/004_al_calendar_schedule_conflict,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/run_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/004_al_calendar_schedule_conflict/config/task.json,formal_run_01: formal runner summary; archived incomplete attempts excluded,FAIL,FAIL,recorded_automatic_result; no applicable confirmed rescoring record located,0,0,selected-attempt result.json; no new scoring or reinterpretation,26,1822.835,time_limit,2,android+linux,android_0:android;linux_0:linux,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/experiment_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/summary.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/004_al_calendar_schedule_conflict/result.json,1e053e2cf7955b4a2c4aafbe5136ea918276eaec,completed,formal_run_01,true,true,true,true
Kimi K2.6,a2l_agenda_from_two_phones,5,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/005_a2l_agenda_from_two_phones,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/run_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/005_a2l_agenda_from_two_phones/config/task.json,formal_run_01: formal runner summary; archived incomplete attempts excluded,FAIL,FAIL,recorded_automatic_result; no applicable confirmed rescoring record located,0,0,selected-attempt result.json; no new scoring or reinterpretation,48,1839.853,time_limit,3,android+linux,android_0:android;android_1:android;linux_0:linux,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/experiment_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/summary.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/005_a2l_agenda_from_two_phones/result.json,1e053e2cf7955b4a2c4aafbe5136ea918276eaec,completed,formal_run_01,true,true,true,true
Kimi K2.6,a2_missing_media_status,6,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/006_a2_missing_media_status,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/run_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/006_a2_missing_media_status/config/task.json,formal_run_01: formal runner summary; archived incomplete attempts excluded,FAIL,FAIL,recorded_automatic_result; no applicable confirmed rescoring record located,0,0,selected-attempt result.json; no new scoring or reinterpretation,11,592.749,done,2,android,android_0:android;android_1:android,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/experiment_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/summary.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/006_a2_missing_media_status/result.json,1e053e2cf7955b4a2c4aafbe5136ea918276eaec,completed,formal_run_01,true,true,true,true
Kimi K2.6,l2_csv_to_json,7,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/007_l2_csv_to_json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/run_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/007_l2_csv_to_json/config/task.json,formal_run_01: formal runner summary; archived incomplete attempts excluded,PASS,PASS,recorded_automatic_result; no applicable confirmed rescoring record located,1,1,selected-attempt result.json; no new scoring or reinterpretation,4,214.492,done,2,linux,linux_0:linux;linux_1:linux,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/experiment_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/summary.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/007_l2_csv_to_json/result.json,1e053e2cf7955b4a2c4aafbe5136ea918276eaec,completed,formal_run_01,true,true,true,true
Kimi K2.6,al_request_audio,8,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/008_al_request_audio,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/run_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/008_al_request_audio/config/task.json,formal_run_01: formal runner summary; archived incomplete attempts excluded,FAIL,FAIL,recorded_automatic_result; no applicable confirmed rescoring record located,0,0,selected-attempt result.json; no new scoring or reinterpretation,27,2011.282,time_limit,2,android+linux,android_0:android;linux_0:linux,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/experiment_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/summary.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/008_al_request_audio/result.json,1e053e2cf7955b4a2c4aafbe5136ea918276eaec,completed,formal_run_01,true,true,true,true
Kimi K2.6,a2l2_training_deck_notify,9,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/009_a2l2_training_deck_notify,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/run_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/009_a2l2_training_deck_notify/config/task.json,formal_run_01: formal runner summary; archived incomplete attempts excluded,FAIL,FAIL,recorded_automatic_result; no applicable confirmed rescoring record located,0.3333333333333333,0.3333333333333333,selected-attempt result.json; no new scoring or reinterpretation,21,1863.249,time_limit,4,android+linux,android_0:android;android_1:android;linux_0:linux;linux_1:linux,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/experiment_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/summary.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/009_a2l2_training_deck_notify/result.json,1e053e2cf7955b4a2c4aafbe5136ea918276eaec,completed,formal_run_01,true,true,true,true
Kimi K2.6,a2_route_media_status,10,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/010_a2_route_media_status,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/run_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/010_a2_route_media_status/config/task.json,formal_run_01: formal runner summary; archived incomplete attempts excluded,FAIL,FAIL,recorded_automatic_result; no applicable confirmed rescoring record located,0,0,selected-attempt result.json; no new scoring or reinterpretation,47,1822.26,time_limit,2,android,android_0:android;android_1:android,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/experiment_metadata.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/summary.json,worker-worktrees/all-task-update-intergration-sync-20260826/runs/kimi-k2.6-lite/core200_20260826/run_01/010_a2_route_media_status/result.json,1e053e2cf7955b4a2c4aafbe5136ea918276eaec,completed,formal_run_01,true,true,true,true
