model,dimension,subgroup,N,success_count,success_rate,mean_score,adjudicated_success_count,adjudicated_success_rate,adjudicated_mean_score,average_steps,median_steps,average_duration,median_duration,step_limit_reached,wall_time_limit_reached,budget_exhaustion,declared_complete_but_failed,failed_N,failed_with_positive_score,mean_failed_score,failed_with_any_satisfied_scoring_condition,mean_failed_scoring_condition_fraction
gpt-5.5,overall,all,200,57,0.285,0.5340833333333334,58,0.29,0.53575,21,13.0,744.23308,600.3,35,16,51,92,143,93,0.34836829836829836,94,0.35186480186480185
gpt-5.5,device_types,android,20,3,0.15,0.3208333333333333,3,0.15,0.3208333333333333,45.85,50.0,807.14315,732.643,15,0,15,2,17,6,0.20098039215686275,6,0.20098039215686275
gpt-5.5,device_types,android+home,25,3,0.12,0.6133333333333333,3,0.12,0.6133333333333333,25.44,22,504.5924,528.147,7,0,7,15,22,21,0.5606060606060606,21,0.5606060606060606
gpt-5.5,device_types,android+home+linux,30,6,0.2,0.5527777777777778,7,0.23333333333333334,0.5638888888888889,27.5,28.5,1104.9878,1104.2965,2,4,6,18,24,19,0.4409722222222222,19,0.4409722222222222
gpt-5.5,device_types,android+linux,67,16,0.23880597014925373,0.41641791044776116,16,0.23880597014925373,0.41641791044776116,22.746268656716417,14,1018.7196268656717,904.402,11,12,23,28,51,24,0.23333333333333334,24,0.23333333333333334
gpt-5.5,device_types,home,10,4,0.4,0.6,4,0.4,0.6,3.4,3.0,29.5551,22.9845,0,0,0,6,6,4,0.3333333333333333,4,0.3333333333333333
gpt-5.5,device_types,home+linux,30,11,0.36666666666666664,0.6583333333333333,11,0.36666666666666664,0.6583333333333333,6.033333333333333,6.5,391.71413333333334,352.406,0,0,0,19,19,17,0.4605263157894737,18,0.4868421052631579
gpt-5.5,device_types,linux,18,14,0.7777777777777778,0.8240740740740741,14,0.7777777777777778,0.8240740740740741,4.611111111111111,4.5,368.7843888888889,292.071,0,0,0,4,4,2,0.20833333333333331,2,0.20833333333333331
gpt-5.5,device_count,1,10,4,0.4,0.6,4,0.4,0.6,3.4,3.0,29.5551,22.9845,0,0,0,6,6,4,0.3333333333333333,4,0.3333333333333333
gpt-5.5,device_count,2,95,36,0.37894736842105264,0.5447368421052632,36,0.37894736842105264,0.5447368421052632,21.389473684210525,9,595.902747368421,517.703,24,4,28,31,59,30,0.2669491525423729,31,0.2754237288135593
gpt-5.5,device_count,3,66,11,0.16666666666666666,0.5287878787878788,12,0.18181818181818182,0.5338383838383838,21.90909090909091,16.0,856.329606060606,651.102,8,5,13,42,55,43,0.4345454545454545,43,0.4345454545454545
gpt-5.5,device_count,4,29,6,0.20689655172413793,0.4885057471264368,6,0.20689655172413793,0.4885057471264368,23.724137931034484,25,1221.4672413793103,1157.837,3,7,10,13,23,16,0.3550724637681159,16,0.3550724637681159
gpt-5.5,device_topology,1A+1H,15,2,0.13333333333333333,0.611111111111111,2,0.13333333333333333,0.611111111111111,25.2,22,485.9658,517.703,5,0,5,8,13,13,0.5512820512820513,13,0.5512820512820513
gpt-5.5,device_topology,1A+1L,24,6,0.25,0.3263888888888889,6,0.25,0.3263888888888889,22.916666666666668,13.5,859.9893333333333,688.645,4,4,8,10,18,4,0.10185185185185185,4,0.10185185185185185
gpt-5.5,device_topology,1A+1L+1H,14,1,0.07142857142857142,0.5178571428571428,2,0.14285714285714285,0.5416666666666666,27.142857142857142,26.0,1028.2452857142857,978.772,0,1,1,12,13,11,0.4807692307692308,11,0.4807692307692308
gpt-5.5,device_topology,1A+2L,12,3,0.25,0.5055555555555555,3,0.25,0.5055555555555555,22.5,8.5,1012.3990833333334,870.1965,4,2,6,3,9,6,0.34074074074074073,6,0.34074074074074073
gpt-5.5,device_topology,1A+2L+1H,4,0,0,0.4583333333333333,0,0,0.4583333333333333,21.25,21.5,1097.47525,1086.3095,0,1,1,3,4,3,0.4583333333333333,3,0.4583333333333333
gpt-5.5,device_topology,1H,10,4,0.4,0.6,4,0.4,0.6,3.4,3.0,29.5551,22.9845,0,0,0,6,6,4,0.3333333333333333,4,0.3333333333333333
gpt-5.5,device_topology,1L+1H,18,11,0.6111111111111112,0.75,11,0.6111111111111112,0.75,5.777777777777778,5.0,327.80822222222224,244.3125,0,0,0,7,7,5,0.35714285714285715,6,0.42857142857142855
gpt-5.5,device_topology,2A,20,3,0.15,0.3208333333333333,3,0.15,0.3208333333333333,45.85,50.0,807.14315,732.643,15,0,15,2,17,6,0.20098039215686275,6,0.20098039215686275
