model,lite_index,task_id,family,topology,selected_attempt,run_ref,task_version,result_basis,raw_result,adopted_result,evaluation_status,raw_score,adopted_score,score_basis,steps,duration,termination_reason,failure_class,device_count,device_types,device_ids,metadata_ref,result_index_ref
qwen3.7-plus,1,a2l2_meeting_packet_full,real100,2A+2L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/001_a2l2_meeting_packet_full,sha256:c3508a07afb9af8d622ff4c06dfb6efbc6dfed8545bc8c5a20aadda94b0b3f8e,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,20,1857.891,time_limit,timeout,4,android+linux,android_0+android_1+linux_0+linux_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/001_a2l2_meeting_packet_full/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,2,al2_data_transform_sync,real100,1A+2L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/002_al2_data_transform_sync,sha256:88dfcefb8ca5b9a54091228f38872b4c33952b0c549dc8a0e2affcd93e712488,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,28,1880.158,time_limit,timeout,3,android+linux,android_0+linux_0+linux_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/002_al2_data_transform_sync/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,3,al_tutorial_screenshot,real100,1A+1L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/003_al_tutorial_screenshot,sha256:55dcc5d2f5021dd16a0fbb366fc81f78023ca42ef99a554fabf84a234d908ecf,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,33,1847.968,time_limit,timeout,2,android+linux,android_0+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/003_al_tutorial_screenshot/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,4,al_calendar_schedule_conflict,real100,1A+1L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/004_al_calendar_schedule_conflict,sha256:255c8d693a01fcbc22e8677f251092963d115cddda6c761cdea9fbdd75ca2941,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,38,1837.41,time_limit,timeout,2,android+linux,android_0+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/004_al_calendar_schedule_conflict/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,5,a2l_agenda_from_two_phones,real100,2A+1L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/005_a2l_agenda_from_two_phones,sha256:1c2400387eba733c60e7846771d07b724384fdb8a1406014c9200b3d14b158a9,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,28,1842.628,time_limit,timeout,3,android+linux,android_0+android_1+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/005_a2l_agenda_from_two_phones/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,6,a2_missing_media_status,real100,2A,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/006_a2_missing_media_status,sha256:98a0660c2582dc927dc31240331308a8d801a7238f355221e74d11cfe47a30c7,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,50,1114.158,max_steps,timeout,2,android,android_0+android_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/006_a2_missing_media_status/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,7,l2_csv_to_json,real100,2L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/007_l2_csv_to_json,sha256:91d4433eebbcdda79e4c29c64cbc83424fa890f015d267e43991ca3113c04cfc,final_merged_selected_attempt,PASS,PASS,lifecycle_valid,1.0,1.0,selected_attempt_evaluator_trace,4,279.562,done,passed,2,linux,linux_0+linux_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/007_l2_csv_to_json/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,8,al_request_audio,real100,1A+1L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/008_al_request_audio,sha256:6ac7870304522208d9d15b29f664fbc48f2816ae75db4214b6f4fb3bce1a9429,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,50,1077.815,max_steps,timeout,2,android+linux,android_0+linux_0,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/008_al_request_audio/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,9,a2l2_training_deck_notify,real200,2A+2L,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/009_a2l2_training_deck_notify,sha256:0e06c7d05c0ef6f816f1704ec04d04e291d1efd8ba861e3cdc17d95a9aed61cc,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.3333333333333333,0.3333333333333333,selected_attempt_evaluator_trace,26,1879.279,time_limit,timeout,4,android+linux,android_0+android_1+linux_0+linux_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/009_a2l2_training_deck_notify/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
qwen3.7-plus,10,a2_route_media_status,real200,2A,run_01,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/010_a2_route_media_status,sha256:15800b0650c989769c773a0f0721b2c9161cd01186ff755e60f5cc97de857cfb,final_merged_selected_attempt,FAIL,FAIL,lifecycle_valid,0.0,0.0,selected_attempt_evaluator_trace,39,1834.394,time_limit,timeout,2,android,android_0+android_1,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/run_01/010_a2_route_media_status/config/task.json,/Users/Admin/home/MDC_Benchmark_lite_ufo3/runs/qwen3.7-plus-core200-20260829/mdcbench_lite_v1/final_merged_status_after_infrastructure_repairs.json
